"","Study_number","Record_number","N","OtherFactor","Longitude","Clay_percent","Clay_depth","SOC_percent","SOC_depth","manipSM_per","manipSM_depth","BBL_notes","Percent_control","SM_mean","SM_sd","Author","Study_midyear","Latitude","Ecosystem_type","Manipulation","Manipulation_level","Meas_method","Species","Soil_type","Elevation","Meas_interval","Variable","Manip_Resp","Manip_SD","contSM_per","contSM_depth","Quality_flag","Control_Resp","Control_SD","Duration","sg_clay","sg_ocs","yi","vi"
"38",4412,2920,3,NA,19.42,NA,NA,0.3,10,4.5,11,NA,85,NA,NA,"Lellei-Kovács",2004,46.87,"Grassland","Drought","","IRGA","Festuca vaginata; Populus alba","Sandy (Calcaric arenosol)",NA,NA,"Rs_growingseason",0.47,NA,5.3,11,"Q03",0.51,NA,1,192.46,35.68,-0.0816780310142672,NA
"39",4412,2923,3,NA,19.42,NA,NA,0.3,10,1.9,11,NA,80,NA,NA,"Lellei-Kovács",2005,46.87,"Grassland","Drought","","IRGA","Festuca vaginata; Populus alba","Sandy (Calcaric arenosol)",NA,NA,"Rs_growingseason",0.32,NA,2.7,11,"Q03",0.45,NA,2,192.46,35.68,-0.340926586970593,NA
"40",4412,2926,3,NA,19.42,NA,NA,0.3,10,4.6,11,NA,72,NA,NA,"Lellei-Kovács",2006,46.87,"Grassland","Drought","","IRGA","Festuca vaginata; Populus alba","Sandy (Calcaric arenosol)",NA,NA,"Rs_growingseason",0.57,NA,5.4,11,"Q03",0.73,NA,3,192.46,35.68,-0.247408173313841,NA
"41",4895,3515,3,NA,10.07,NA,NA,NA,NA,NA,10,NA,116,NA,NA,"Inglima",2004.5,42.58527778,"Forest","Irrigation","","IRGA","Pinus halepensis","",NA,NA,"Rs_growingseason",4.7,1.21,NA,10,"",3.7,0.92,0,282.771428571429,48.6857142857143,0.239229689065834,0.0427016698957041
"42",4895,3516,3,NA,10.07,NA,NA,NA,NA,NA,10,NA,103,NA,NA,"Inglima",2004.5,42.58527778,"Shrubland","Irrigation","","IRGA","Juniperus phoeniciea; Rosmarinus officinale; Bromus fasciculatus; Pistacia lentiscus","",NA,NA,"Rs_growingseason",3.71,1.66,NA,10,"",2.13,0.55,0,282.771428571429,48.6857142857143,0.55490989689801,0.0889591526539332
"43",4895,3517,3,NA,10.07,NA,NA,NA,NA,NA,10,NA,103,NA,NA,"Inglima",2004.5,42.58527778,"Grassland","Irrigation","","IRGA","Avena barbata; Asphodelus ramosus ;Lagurus ovatus","",NA,NA,"Rs_growingseason",4.05,1.86,NA,10,"",1.95,0.36,0,282.771428571429,48.6857142857143,0.730887508542792,0.0816673024840167
"44",4849,3737,12,NA,-84.39,NA,NA,NA,NA,NA,15,NA,8,0.2,NA,"Garten",2005,35.57,"Grassland","Drought","","IRGA","Plantago lanceolata; Andropogon virginicus; Festuca pratense; Dactylis glomerata; Solidago canadensis; Trifolium pratense Lespedeza cuneata","Fragiudult (silt loam)",NA,NA,"Rs_growingseason",2.8,1.558845727,NA,15,"",3.4,1.385640646,0,250.56,44.76,-0.194156014440958,0.0396699120876097
"45",4849,3745,12,NA,-84.39,NA,NA,NA,NA,NA,15,NA,8,0.2,NA,"Garten",2006,35.57,"Grassland","Drought","","IRGA","Plantago lanceolata; Andropogon virginicus; Festuca pratense; Dactylis glomerata; Solidago canadensis; Trifolium pratense Lespedeza cuneata","Fragiudult (silt loam)",NA,NA,"Rs_growingseason",3,1.732050808,NA,15,"",3.5,0.8660254038,1,250.56,44.76,-0.154150679827258,0.0328798186081159
"46",5587,3844,3,NA,3.71,NA,NA,NA,NA,16,15,"SM estimated from Figure 1 and text",73,NA,NA,"Misson",2004,43.74138889,"Forest","Drought","","IRGA","Quercus ilex","Clay",270,0.1,"Rs_annual",1.78897021906297,0.536691065718891,18,15,"",2.00301244615913,0.0801204978463652,0,277,61.7608695652174,-0.113012112730097,0.0305333333333333
"47",5587,3846,3,NA,3.71,NA,NA,NA,NA,12.5,15,"SM estimated from Figure 1 and text",73,NA,NA,"Misson",2005,43.74138889,"Forest","Drought","","IRGA","Quercus ilex","Clay",270,0.1,"Rs_annual",1.87617260787993,1.20075046904315,14,15,"",2.11399730465344,0.116269851755939,1,277,61.7608695652174,-0.119346757632566,0.137541666666667
